Date,Make,Model,Color,Year,Price,Mileage,EngineSize,FuelEfficiency,SalesPerson
2022-01-01,Mercedes,Sedan,Blue,2020,43639.25,65879.0,1.6,26.6,David
2022-01-02,Toyota,Hatchback,Gray,2016,44983.53,62313.0,3.5,23.4,Eva
2022-01-03,Hyundai,Van,Red,2019,47054.44,49459.0,2.5,29.3,Bob
2022-01-04,Toyota,Sedan,Blue,2020,69614.21,21126.0,3.0,22.0,Bob
2022-01-05,Nissan,Coupe,Silver,2018,25880.32,38198.0,4.0,26.7,Bob
2022-01-06,Mercedes,Sedan,Green,2018,62236.52,54359.0,2.0,27.6,Bob
2022-01-07,Ford,SUV,Green,2016,40276.73,46799.0,1.6,29.3,Alice
2022-01-08,Hyundai,Coupe,Silver,2016,38598.81,12729.0,1.6,29.3,David
2022-01-09,Audi,Hatchback,Gray,2022,75952.59,64951.0,3.5,25.1,Charlie
2022-01-10,Ford,Coupe,Silver,2016,34908.11,7305.0,3.0,37.0,Alice
2022-01-11,Nissan,Coupe,Silver,2022,58551.91,37819.0,4.0,27.1,David
2022-01-12,Mercedes,Hatchback,White,2021,36507.67,71003.0,1.6,24.6,Charlie
2022-01-13,Chevrolet,Hatchback,Red,2017,50428.63,2002.0,3.5,23.5,Bob
2022-01-14,Nissan,Van,Green,2016,67177.57,56998.0,2.0,26.5,David
2022-01-15,Ford,SUV,White,2020,72903.35,33452.0,3.5,21.4,Bob
2022-01-16,Hyundai,Hatchback,Silver,2020,70321.83,883.0,3.0,20.7,David
2022-01-17,Kia,Truck,Black,2022,54930.84,19038.0,3.5,32.1,Eva
2022-01-18,Hyundai,Truck,White,2021,34928.98,94095.0,1.6,32.4,Bob
2022-01-19,Mercedes,SUV,Silver,2021,59674.0,52115.0,1.6,30.6,Bob
2022-01-20,Kia,Sedan,Green,2015,62594.3,99723.0,2.5,35.2,Bob
2022-01-21,Honda,Sedan,Silver,2019,20641.52,52482.0,3.5,20.8,Alice
2022-01-22,Mercedes,Truck,Red,2016,46352.63,54394.0,2.0,38.7,Charlie
2022-01-23,Mercedes,Hatchback,Gray,2022,70595.72,39184.0,4.0,21.9,Bob
